id_vente,id_produit,quantite_vendue,date_vente,pays_vente,ville_vente,chiffre_affaires
31,VS581,75,2023-01-24,Saint Martin,Solismouth,21585.75
32,VT190,5,2023-03-31,Poland,East Amber,1198.95
33,VS585,11,2023-02-05,Kazakhstan,Michaelstad,2443.32
34,AC650,13,2023-03-03,Falkland Islands (Malvinas),Port Garyville,3114.8
35,VS714,4,2023-08-04,French Southern Territories,West Marcus,541.44
36,VS348,45,2023-04-20,Malawi,Jonesland,7855.65
37,VT367,31,2023-06-23,Luxembourg,Angelaborough,3868.8
38,CR691,0,2023-10-15,Cocos (Keeling) Islands,Ronaldport,0.0
39,AS543,38,2023-06-18,Vanuatu,North Andrea,4946.84
40,AC260,35,2023-10-15,Trinidad and Tobago,Walterland,8980.65
41,VT156,24,2023-09-05,Kenya,Lake Margarettown,4459.92
42,CR488,8,2023-03-11,Belize,Harrisborough,733.36
43,CF812,17,2023-12-18,Pitcairn Islands,Andersonchester,3327.07
44,AC837,72,2023-03-03,Belarus,North Danielfurt,14881.68
45,CB204,12,2023-05-19,Kenya,Gordonstad,1336.44
46,CB413,54,2023-10-29,British Indian Ocean Territory (Chagos Archipelago),Maysmouth,14749.02
47,AS750,36,2023-11-23,Israel,Franklinfurt,8845.56
48,CR714,3,2023-10-14,Saint Helena,Aaronport,802.4100000000001
49,CB133,3,2023-03-29,Luxembourg,Ryanport,266.91
50,VS993,78,2023-09-30,Comoros,North Christopher,22181.64
51,AC448,32,2023-07-10,Congo,Charlesshire,8443.52
52,CR482,17,2023-10-14,Guinea,North Elizabeth,2160.36
53,AC715,43,2023-02-26,Saint Lucia,Kerryton,5590.860000000001
54,AC534,5,2023-03-30,Indonesia,Lake Susanton,460.15
55,CF749,14,2023-05-19,Costa Rica,West Brandi,1150.24
56,VS153,56,2022-12-31,Lesotho,North Brandyfort,12722.64
57,AC687,10,2023-10-14,Holy See (Vatican City State),Perkinsburgh,715.9000000000001
58,AS597,8,2023-09-29,Singapore,North Davidton,473.6
59,VT332,12,2023-02-10,Botswana,Port Stacyfurt,1716.6
60,CF567,94,2023-08-02,Turkey,Thomasshire,18457.84
61,VS525,24,2023-10-14,Togo,Johnsonchester,4025.52
62,CB689,0,2023-08-30,Indonesia,Brianmouth,0.0
63,AC774,28,2023-01-23,British Indian Ocean Territory (Chagos Archipelago),Gordonview,6303.639999999999
64,AC429,50,2023-04-01,French Polynesia,East Manuel,5872.5
65,CB777,10,2023-10-28,Guinea-Bissau,West Johnland,1020.9
66,VS591,30,2023-11-15,Saint Barthelemy,New Teresabury,3530.4
67,AC919,1,2023-12-14,Taiwan,Lopezchester,194.0
68,AC968,43,2023-02-10,Congo,Albertmouth,5429.18
69,CR717,6,2023-01-14,Wallis and Futuna,East Scott,556.92
70,VT381,15,2023-07-21,Grenada,West Teresaview,4393.05
71,VT688,17,2023-05-02,Bosnia and Herzegovina,New Bethanyshire,4753.71
72,CF357,43,2023-01-04,Cocos (Keeling) Islands,South Joshua,10024.59
73,AS968,0,2023-11-16,Ecuador,Kevinchester,0.0
74,CB233,47,2023-01-15,Nicaragua,Morganborough,13723.53
75,VS504,23,2023-08-13,South Africa,Edwardsport,6635.959999999999
76,AC386,6,2023-06-12,Botswana,Bairdland,527.64
77,VS195,37,2023-01-20,Azerbaijan,New Brandonton,9407.62
78,AS718,7,2023-04-05,British Virgin Islands,Smithfort,1106.49
79,VT992,31,2023-11-26,Austria,Mccartyfurt,4019.15
80,CF302,10,2023-07-08,Comoros,Whitechester,2165.9
81,CR372,5,2023-06-18,Guernsey,Riverafort,1140.15
82,CR720,63,2023-04-02,Norway,Susanville,15964.83
83,VS355,63,2023-10-01,Maldives,New Lindsayborough,8082.900000000001
84,CF202,12,2023-05-31,Yemen,South Jacob,1944.84
85,AC264,5,2023-04-18,Monaco,Priceshire,323.45
86,CB679,11,2023-01-15,Belgium,North Justin,1652.75
87,VS154,47,2023-09-06,Niue,North Jeffrey,11132.42
88,VT833,38,2023-01-19,Malawi,North Penny,10929.56
89,CB434,11,2023-01-04,Italy,North John,3243.13
90,VT735,3,2023-08-30,Armenia,Reginaport,465.4500000000001
91,VT316,66,2023-10-28,Western Sahara,New Ashleybury,7230.96
92,AC539,7,2023-06-09,Mauritania,New Lisafort,1008.98
93,CR562,34,2023-10-16,Mayotte,Higginsside,4449.58
94,CF197,15,2023-05-02,Moldova,Moralesfurt,4103.4
95,CR846,14,2023-03-06,Tajikistan,Lake Heatherton,1794.66
96,AS599,26,2023-09-24,Marshall Islands,South Jackborough,5198.7
97,AS643,69,2023-05-25,Norway,Roberttown,4328.37
98,VS433,32,2023-11-11,Slovakia (Slovak Republic),North Carolshire,6927.36
99,CR605,10,2023-12-29,Holy See (Vatican City State),Adammouth,1369.6
100,VS916,28,2023-10-09,Samoa,New Scott,8076.599999999999
101,AS864,14,2023-07-05,Cape Verde,South Peter,2671.2000000000003
102,CR522,35,2023-09-26,France,Meghanfurt,6030.5
103,VS733,5,2023-01-15,Norway,Perryton,1175.85
104,VS613,10,2023-11-30,Falkland Islands (Malvinas),Michaelchester,2292.4
105,VT947,1,2023-01-01,United States of America,Davisborough,197.84
106,CB833,18,2023-04-26,Turks and Caicos Islands,Lake Paul,4494.06
107,CB116,0,2023-08-04,Ethiopia,East Jessicaville,0.0
108,CB892,3,2023-09-19,Bhutan,Port Christian,714.36
109,VS865,52,2023-06-11,Kyrgyz Republic,North Brendamouth,7408.44
110,AC520,0,2023-04-18,Turkey,Jennifershire,0.0
111,VT194,42,2023-07-05,Romania,Shawshire,2607.36
112,VS693,51,2023-10-23,Hong Kong,Berrymouth,13049.88
113,CR967,51,2023-01-01,Uzbekistan,Watkinsfort,9468.66
114,VS447,13,2023-03-01,Tunisia,Vanessaton,3466.19
115,AS631,10,2023-06-17,Korea,Lake Emily,1992.9
116,VS329,6,2023-12-16,Burkina Faso,Port Sean,1580.52
117,AC681,74,2023-05-20,Cocos (Keeling) Islands,Port Patriciamouth,5555.179999999999
118,AC855,5,2023-11-23,Estonia,North Scott,1311.6999999999998
119,AC723,17,2023-11-03,Anguilla,Kevinberg,4018.63
120,AS556,10,2023-12-01,Antigua and Barbuda,Macdonaldstad,2964.7000000000003
121,CF513,39,2023-12-21,Gabon,Port Laura,3355.5600000000004
122,AC271,43,2023-07-22,Spain,New Victoria,3135.56
123,VS182,30,2023-07-28,Kenya,Ericaborough,4741.8
124,AC617,7,2023-08-05,Algeria,New Steven,1108.1
125,CB185,0,2023-03-04,Samoa,Henryfort,0.0
126,AC897,8,2023-07-15,Hungary,North Tracychester,1877.76
127,AC365,1,2023-12-29,Puerto Rico,Martinezview,276.77
128,VS178,1,2023-12-29,Italy,Lake Noahfort,172.54
129,VS305,35,2023-09-30,Lesotho,Kathrynton,4670.4
130,AC485,59,2023-02-03,Austria,Harryland,7012.15
131,VS707,22,2023-07-31,Bolivia,Royland,3393.72
132,AC748,14,2023-02-14,Madagascar,Hendricksland,2211.16
133,AC797,7,2023-10-23,Burundi,Brandonbury,1728.86
134,CF772,11,2023-07-30,Liechtenstein,North Jennyfurt,2273.92
135,VS414,16,2023-09-05,Bosnia and Herzegovina,Mckenzieton,2652.48
136,VS827,11,2023-09-08,Iceland,North Sarahside,2706.66
137,CR204,39,2023-08-11,French Polynesia,Lake William,3274.83
138,CF864,68,2023-01-27,Qatar,Baileyberg,14467.68
139,AS266,13,2023-06-17,Austria,Joshuachester,2195.96
140,VT654,75,2023-03-23,Paraguay,New Holly,7546.5
141,VS182,1,2023-08-06,Armenia,Heatherton,245.08
142,VT613,3,2023-11-16,Guinea-Bissau,South Adamton,239.16
143,AC608,0,2023-10-26,Saint Kitts and Nevis,South Charlotte,0.0
144,AC722,27,2023-02-22,Papua New Guinea,Jenniferfort,7050.51
145,CF646,0,2023-12-10,Latvia,Castilloland,0.0
146,CB197,31,2023-05-01,Antarctica (the territory South of 60 deg S),Josephmouth,5247.68
147,CF851,24,2023-03-20,Andorra,East Christianstad,5056.32
148,AC450,76,2023-11-08,Libyan Arab Jamahiriya,Wilsonmouth,19235.6
149,AS154,4,2023-08-25,Bouvet Island (Bouvetoya),Walkerburgh,1019.6
150,VS798,6,2023-11-21,Tokelau,Elizabethland,1695.54
151,VT423,2,2023-12-02,Czech Republic,West Michael,193.7
152,CF655,54,2023-02-16,Turkmenistan,North Johnview,7859.16
153,VT681,16,2023-08-03,Peru,Lisastad,1738.72
154,CB697,4,2023-09-08,Korea,Davidsonstad,1037.76
155,VS187,51,2023-05-02,Malaysia,West Hannah,3471.06
156,VT624,24,2023-05-25,Romania,New William,6913.68
157,VS363,2,2023-03-08,Equatorial Guinea,Robertport,481.08
158,VT553,11,2023-02-14,Mauritania,East Kaylaport,2819.96
159,VT845,25,2023-06-16,Solomon Islands,New Amber,4239.75
160,AS174,10,2023-02-08,Zambia,Franktown,2839.5
161,VS967,45,2023-11-30,Dominican Republic,New Misty,12657.15
162,AC744,21,2023-04-18,Malta,Wilsonport,2856.63
163,CR953,6,2023-08-22,Japan,Lake Amyberg,1558.8000000000002
164,CF299,30,2023-01-13,Czech Republic,West Heatherfort,2860.5
165,AC794,7,2023-03-21,Reunion,Markbury,836.5
166,CB218,0,2023-07-30,Turkey,Brendaport,0.0
167,AS457,2,2023-02-11,Honduras,West Scottton,158.2
168,VT128,9,2023-09-20,Costa Rica,South Kevin,976.14
169,AC946,59,2023-04-01,Senegal,New Kerristad,13544.63
170,CB187,0,2023-01-30,United States of America,New Rachel,0.0
171,VS796,2,2023-10-10,Tunisia,Lake Jennifer,411.04
172,VT276,19,2023-08-25,Nicaragua,Parkershire,1553.44
173,AC319,2,2023-10-17,Bahamas,Lake Tamara,321.02
174,AC893,78,2023-01-15,Spain,South Candicebury,10920.78
175,VT101,22,2023-04-04,Dominican Republic,Bradleymouth,5644.1
176,CF238,23,2023-07-07,Eritrea,Heathershire,5051.030000000001
177,CF157,13,2023-07-25,Korea,Mooneyport,2888.86
178,CF836,4,2023-01-14,Togo,Russellshire,639.32
179,VT993,13,2023-11-16,Papua New Guinea,South Connieville,3538.34
180,VS798,5,2023-10-12,Bolivia,South Hannah,589.55
181,CF539,10,2023-11-02,Germany,Colemanburgh,945.8
182,CR582,5,2023-04-15,British Virgin Islands,Ellisville,1396.45
183,CB769,55,2023-10-06,Mauritania,Karamouth,5021.5
184,VS888,25,2023-04-23,Montenegro,East Jesusview,5570.0
185,VT496,16,2023-01-04,Burundi,New Felicia,3555.04
186,AS986,23,2023-03-29,New Zealand,Danielbury,5234.8
187,VS251,35,2023-01-30,Guam,Lake Kaylabury,2178.4
188,CR731,52,2023-08-16,South Africa,Port Donnaville,13924.04
189,VS498,54,2023-12-02,New Caledonia,Harpershire,14873.76
190,VT594,55,2023-08-19,Netherlands Antilles,Schmittberg,9045.85
191,CB475,54,2023-12-18,Antigua and Barbuda,Spenceville,14694.48
192,CB797,20,2023-09-21,Guernsey,Gallegostown,4445.0
193,VS858,29,2023-03-25,El Salvador,New Tylerbury,4555.61
194,VT434,71,2023-05-05,Hong Kong,Port April,12205.61
195,CR828,60,2023-02-25,Myanmar,Melissamouth,11713.2
196,AC627,1,2023-05-22,Hungary,New Judy,254.6
197,AS116,46,2023-10-26,United Arab Emirates,Lake Bryanberg,7882.56
198,AC783,11,2023-08-01,Korea,Phillipfurt,1784.86
199,VS489,4,2023-03-11,Bosnia and Herzegovina,Jenniferbury,454.68
200,AS109,6,2023-05-23,Poland,Port Barbarachester,1314.24
201,VT107,0,2023-11-26,Mongolia,New William,0.0
202,CB420,24,2023-05-21,Honduras,Port Lisashire,1259.76
203,VS363,19,2023-05-22,Saint Pierre and Miquelon,Jamiemouth,2739.61
204,AS905,11,2023-01-07,Estonia,East Karinaville,1920.16
205,AC441,5,2023-09-30,Cyprus,South Gabrielleborough,1245.05
206,CB104,73,2023-10-09,Holy See (Vatican City State),Stevenmouth,10259.42
207,AS371,2,2023-10-22,Lebanon,Boonechester,105.62
208,VT403,42,2023-08-07,Germany,New Emilyberg,5677.98
209,VT245,30,2023-08-24,French Polynesia,Wilsonport,8784.0
210,VS896,30,2023-11-14,Algeria,North Scott,7530.9
211,CB676,21,2023-07-10,Netherlands,West Jessica,2803.92
212,CR493,48,2023-08-10,Djibouti,Smithchester,4166.88
213,AC173,60,2023-02-17,Western Sahara,Meganchester,17839.8
214,VS388,6,2023-08-01,Zimbabwe,West Stephanie,327.78000000000003
215,CB670,3,2023-10-13,French Guiana,Whiteshire,709.74
216,VT350,48,2023-05-24,Cape Verde,South Stephanie,2772.0
217,AS837,64,2023-11-23,French Southern Territories,East Jonathanbury,13099.52
218,VS480,50,2023-04-22,Andorra,Melissahaven,7584.5
219,CF874,38,2023-02-15,Togo,Donnaview,11255.98
220,VS261,44,2023-07-09,Ghana,North Barbaraland,6454.36
221,VS310,0,2023-05-06,Saudi Arabia,West Larryton,0.0
222,AC412,4,2023-10-02,Burkina Faso,South Thomastown,1102.72
223,CB382,4,2023-10-14,Sierra Leone,Port Michelle,314.2
224,VS535,6,2023-11-20,Cape Verde,North Kirstenburgh,931.86
225,CR289,45,2023-07-05,Colombia,North Taraview,5316.3
226,AC266,1,2023-05-29,Gibraltar,Davidshire,52.61
227,CB885,43,2023-11-13,Botswana,Hernandeztown,2631.6
228,VT624,7,2023-02-08,French Polynesia,Hayneston,904.68
229,VT318,87,2023-11-02,Tanzania,Lake Kellyton,16238.55
230,VS273,3,2023-12-04,Gabon,Lake Beverly,739.95
231,CB188,22,2023-08-28,Syrian Arab Republic,New Mallorybury,2163.92
232,CB182,22,2023-02-03,Ethiopia,East Meghantown,1605.5600000000002
233,VT468,42,2023-08-11,Togo,Karenburgh,11466.0
234,CF806,3,2023-10-19,Heard Island and McDonald Islands,New Garyberg,466.9500000000001
235,AC557,15,2023-02-28,Zimbabwe,Lake Douglasside,3805.8
236,VT586,1,2023-12-05,Saint Kitts and Nevis,New Coreyshire,220.72
237,CR853,82,2023-10-20,Chad,Lake Lindsayberg,21085.48
238,AS930,16,2023-04-17,Pitcairn Islands,Courtneyland,3084.32
239,VS989,20,2023-01-10,Greece,North Amy,1723.4
240,VS112,33,2023-03-30,Marshall Islands,East Charles,4397.58
241,AC416,38,2023-06-20,Martinique,Frankland,3943.64
242,VT346,45,2023-08-25,Isle of Man,Ashleymouth,2528.1
243,VS390,13,2023-11-13,Estonia,Newmanburgh,2870.01
244,AS275,7,2023-04-03,Liberia,South Brandiville,1315.65
245,VT385,46,2023-06-23,Macao,Port Matthewland,3810.64
246,CB590,21,2023-04-13,Holy See (Vatican City State),East Melissaborough,5088.51
247,AC406,9,2023-06-22,Swaziland,Beanfort,2161.17
248,CF145,18,2023-01-15,Maldives,Port Kenneth,1479.06
249,AC562,4,2023-04-17,Serbia,Lake Sierrahaven,841.32
250,VS880,81,2023-02-11,Christmas Island,Chaneymouth,5545.259999999999
251,VT358,25,2023-07-06,Samoa,New Dianeton,5675.0
252,AC691,59,2023-02-18,Albania,Lake Angelafort,6699.45
253,VS184,6,2023-06-08,Georgia,North Laurenfort,1670.04
254,AC335,8,2023-09-26,Mali,Tracymouth,1623.52
255,VS874,0,2023-05-03,Ethiopia,West Tracyview,0.0
256,CB863,17,2023-01-10,Northern Mariana Islands,Lake Michaelberg,4410.14
257,CF997,37,2023-03-11,Suriname,West Brandon,7344.87
258,AC625,32,2023-11-12,American Samoa,Port Louis,7784.64
259,AC281,11,2023-07-10,Gabon,Wrightberg,1330.89
260,CF922,23,2023-01-31,French Southern Territories,South Carolyn,2670.99
261,CB886,59,2023-09-06,Angola,East Davidbury,3586.61
262,VS972,8,2023-08-26,Norfolk Island,Muellerstad,2160.48
263,AS115,33,2023-07-30,Luxembourg,West Rebeccaville,9817.17
264,AC472,12,2023-08-18,Rwanda,North Jeanne,2446.56
265,AC569,26,2023-08-12,El Salvador,North Loriberg,6507.28
266,AC244,0,2023-11-14,Bangladesh,New Christineshire,0.0
267,AC481,15,2023-10-30,Latvia,Annatown,1126.5
268,CB286,3,2023-11-19,Brunei Darussalam,Tiffanyberg,563.37
269,VS903,29,2023-09-21,United Kingdom,Johnberg,2137.88
270,VT434,16,2023-12-03,Guinea,North Robinfurt,2679.52
271,AC551,66,2023-06-30,Brazil,Acostachester,16579.86
272,CR321,12,2023-04-26,Romania,Cunninghamburgh,2634.0
273,AC980,40,2023-03-07,Senegal,Welchton,3162.4
274,VS361,1,2023-11-03,Dominica,Jasonmouth,198.14
275,VS887,32,2023-06-14,Eritrea,Aguilarfort,2717.44
276,AC132,6,2023-05-11,Rwanda,Grimesbury,1197.78
277,VS238,34,2023-04-11,Norfolk Island,Port Stephaniechester,8004.28
278,VS896,4,2023-08-23,Peru,Michellemouth,477.36
279,AS636,16,2023-02-23,Costa Rica,New Brian,3019.52
280,VS965,7,2023-05-02,Papua New Guinea,Frazierstad,1318.45
281,AS448,49,2023-02-13,Singapore,Gilmoremouth,11801.65
282,CF518,85,2023-04-09,China,Tammymouth,18603.1
283,VT288,20,2023-03-06,Greenland,Port Chad,2075.2000000000003
284,VT755,63,2023-12-17,Latvia,Lauraborough,4399.29
285,CB881,22,2023-12-17,South Georgia and the South Sandwich Islands,Maryfort,3175.26
286,CR965,4,2023-09-25,Iran,North Gregoryland,1092.72
287,VS654,6,2023-08-08,Tuvalu,Waremouth,1642.6799999999998
288,AS268,28,2023-04-01,Lithuania,Michellebury,4785.48
289,CF887,15,2023-02-22,Antarctica (the territory South of 60 deg S),New Jacquelineview,3059.4
290,AS664,4,2023-01-13,Iceland,Barrettstad,250.0
291,AC432,28,2023-03-12,Israel,Danamouth,6826.12
292,CF547,13,2023-01-12,Palau,Albertland,1950.91
293,VS172,8,2023-03-28,Palestinian Territory,Kellermouth,471.84
294,VS387,7,2023-07-31,Tonga,East Tonyaview,1941.66
295,CB306,0,2023-12-16,Tunisia,Andersonmouth,0.0
296,CF439,14,2023-12-31,Argentina,New Brianbury,3217.34
297,VT406,52,2023-02-16,Lebanon,Vargasville,5798.52
298,CF798,3,2023-11-26,Morocco,Feliciaburgh,277.23
299,CB738,9,2023-01-17,Switzerland,Davidborough,2005.11
300,VT696,22,2023-12-25,Antarctica (the territory South of 60 deg S),South Stevenstad,3946.14
301,CB817,5,2023-03-31,Thailand,North Melissaland,1284.8
302,CB803,0,2023-06-05,American Samoa,West Kristen,0.0
303,CR961,15,2023-04-08,Puerto Rico,New Josephmouth,2269.05
304,VS356,50,2023-06-27,San Marino,North Sharonton,10943.5
305,VT888,0,2023-01-02,Tajikistan,Johnhaven,0.0
306,AS811,15,2023-05-08,Algeria,Mcdanielmouth,1476.15
307,VS833,28,2023-03-13,Kiribati,Whiteland,2099.44
308,VS160,3,2023-07-04,Lao People's Democratic Republic,Hansenstad,506.52
309,AC309,66,2023-06-04,Ireland,Ramirezfurt,17059.68
310,VS881,35,2023-10-15,Greece,Morganport,4416.3
311,AC449,0,2023-12-25,Malaysia,Jessicahaven,0.0
312,VS286,5,2023-07-07,France,Thomasfort,691.35
313,VT638,27,2023-03-10,Burundi,South Amanda,1516.86
314,AC782,15,2023-05-28,San Marino,Williamsonbury,1047.45
315,VT721,0,2023-05-03,Paraguay,Hayestown,0.0
316,VS775,5,2023-01-11,Heard Island and McDonald Islands,Stantonview,749.0
317,VS592,25,2023-09-20,Aruba,Kimberlymouth,5028.5
318,VT183,56,2023-04-07,Faroe Islands,Freemanmouth,4916.8
319,VT293,69,2023-12-12,Guinea,South Robertberg,9053.49
320,AC539,31,2023-04-01,Vanuatu,Craigland,6109.4800000000005
321,CF772,45,2023-07-20,Denmark,Laurieborough,6930.0
322,CB976,41,2023-11-26,Puerto Rico,Tylermouth,5839.219999999999
323,VS960,53,2023-07-12,Kiribati,East Robertfort,9339.66
324,CF385,0,2023-04-03,Botswana,North Josephside,0.0
325,AC207,26,2023-07-19,Azerbaijan,Lake Erik,2785.12
326,AC688,2,2023-07-31,Antigua and Barbuda,North Tracy,552.12
327,CB279,46,2023-12-07,American Samoa,Duncanchester,5640.98
328,AS999,29,2023-04-07,Martinique,Vincentmouth,2098.15
329,VS724,35,2023-09-23,Croatia,Swansonburgh,3944.15
330,VT311,2,2023-06-25,Svalbard & Jan Mayen Islands,Katherineland,343.62
331,CB629,13,2023-03-10,Luxembourg,South Joshua,3487.25
332,AS305,19,2023-08-24,Pitcairn Islands,Evansmouth,2782.93
333,CR498,5,2023-03-31,Gambia,Harrisstad,1011.7
334,AC498,8,2023-05-25,Georgia,South Richardshire,860.72
335,VS203,18,2023-09-23,Tanzania,East Jessicahaven,1096.92
336,VS762,5,2023-07-04,United Kingdom,North Stephanieborough,1180.2
337,AC277,0,2023-07-09,Peru,South Andre,0.0
338,VT226,6,2023-06-20,United States of America,Richardmouth,708.66
339,CF593,0,2023-07-17,Swaziland,North Teresa,0.0
340,CB383,6,2023-07-30,Benin,East Jamesmouth,381.78
341,CB499,24,2023-10-22,Honduras,Victoriafurt,3449.5199999999995
342,AC410,33,2023-12-21,Sudan,West Stephanietown,5662.14
343,AC183,2,2023-02-06,Swaziland,Barkerberg,218.34
344,AS330,71,2023-12-05,Armenia,New Jameschester,5457.77
345,VS326,28,2023-01-18,Isle of Man,Taylorfort,1690.36
346,AC457,39,2023-09-05,Libyan Arab Jamahiriya,Lake James,3710.46
347,AC739,30,2023-09-01,Australia,Lake Oscarmouth,2522.1
348,AC927,34,2023-09-05,Norfolk Island,Lake Robert,9177.96
349,VS945,58,2023-01-16,Malaysia,Wyattstad,7226.799999999999
350,VS593,39,2023-08-27,Swaziland,East Kaylastad,7696.26
351,VS471,1,2023-10-13,Reunion,North Nathanmouth,95.24
352,AS171,27,2023-10-01,Malawi,Deborahburgh,1516.32
353,CB380,9,2023-03-30,Tokelau,Lozanoport,2119.6800000000003
354,CR239,29,2023-07-15,Macao,North Christinaburgh,4607.2300000000005
355,VS407,3,2023-02-07,Moldova,Jessicaport,627.99
356,AC835,20,2023-04-03,Uruguay,Johnview,4413.4
357,AC345,13,2023-04-10,Portugal,Snyderbury,1057.42
358,VT102,5,2023-05-05,Benin,Lake Shelley,1466.05
359,CF283,7,2023-11-18,Togo,West Matthew,1435.28
360,VT541,4,2023-05-08,South Georgia and the South Sandwich Islands,Lake Diana,217.52
361,AS970,7,2023-06-03,Saint Barthelemy,Davismouth,977.76
362,AC256,34,2023-10-25,Fiji,Jameshaven,2728.5
363,VT648,50,2023-11-24,Netherlands Antilles,East Sandraport,5157.5
364,VT258,5,2023-12-09,Jersey,Martinezhaven,1303.8
365,VS481,38,2023-01-19,Rwanda,Singletonchester,4168.98
366,VT180,5,2023-03-29,Saint Barthelemy,Christophermouth,1031.6
367,VT409,33,2023-04-20,Oman,New Sean,8183.67
368,CB573,4,2023-03-10,Luxembourg,East Brittany,234.4
369,CR664,24,2023-04-10,Marshall Islands,Tamaratown,5626.56
370,CB858,4,2023-11-09,Brazil,North Linda,1017.56
371,CF296,20,2023-07-29,Reunion,Alishaport,2917.4
372,AS553,25,2023-09-14,Philippines,West Annbury,2825.5
373,VS173,69,2023-03-24,Grenada,Stacymouth,4558.83
374,VT660,39,2023-04-25,Ethiopia,East Paulstad,2006.16
375,AS542,68,2023-09-01,Netherlands,Johnsonbury,7141.36
376,CR632,5,2023-05-10,Russian Federation,North Jasonmouth,1092.6
377,CF836,47,2023-02-01,Cook Islands,East Michaelburgh,9700.33
378,CB664,27,2023-07-19,Guatemala,Aprilton,7128.539999999999
379,CF694,42,2023-04-15,Bolivia,Stonestad,2443.56
380,VS661,12,2023-04-04,Saint Pierre and Miquelon,Hansonland,2199.24
381,CR146,6,2023-09-18,British Indian Ocean Territory (Chagos Archipelago),West Jenniferburgh,602.58
382,CF779,33,2023-02-12,Northern Mariana Islands,East Elizabeth,3375.24
383,VS229,2,2023-02-16,Faroe Islands,North Dustinside,535.34
384,CB909,3,2023-12-21,Libyan Arab Jamahiriya,Shannonfurt,270.12
385,AC368,2,2023-09-18,Papua New Guinea,Stephaniemouth,478.18
386,CF318,34,2023-08-18,Brunei Darussalam,Johnborough,4971.48
387,AC285,17,2023-10-27,Guyana,East Josephfort,893.01
388,VS308,29,2023-02-26,Isle of Man,Josephland,6534.86
389,AC734,33,2023-03-12,Palestinian Territory,Christinehaven,9122.19
390,AC244,7,2023-12-22,Libyan Arab Jamahiriya,Weberstad,761.81
391,AC554,75,2023-09-24,Myanmar,Lake Jeff,5587.5
392,CB324,1,2023-12-24,Mexico,Jamesside,159.21
393,AS885,34,2023-01-04,Australia,Changside,4137.8
394,VS700,0,2023-10-17,Sweden,Yuland,0.0
395,AC499,72,2023-09-07,Svalbard & Jan Mayen Islands,South Brittanybury,18952.56
396,CB389,29,2023-07-02,Montenegro,Brownville,2339.43
397,AC301,16,2023-02-08,Palau,Lake Christina,1912.16
398,CR826,21,2023-09-18,Russian Federation,Taylorchester,5118.33
399,CR774,72,2023-08-03,Bhutan,Wattstown,6798.960000000001
400,AC941,36,2023-03-12,Montserrat,Haroldfurt,10470.96
401,VS807,94,2023-10-31,Czech Republic,East Gerald,18081.84
402,CB358,0,2023-01-09,India,Lake Melinda,0.0
403,AC163,52,2023-11-23,New Zealand,Anthonyfort,9315.8
404,VT213,13,2023-02-04,Albania,Buchananmouth,3131.1800000000003
405,VT875,26,2023-07-19,Dominica,South Bailey,2564.38
406,AS666,4,2023-09-26,Cote d'Ivoire,Lake Matthew,1026.92
407,AC318,26,2023-11-22,Lao People's Democratic Republic,Williamport,4977.44
408,CR488,12,2023-09-13,Belgium,Wrightmouth,2843.28
409,CR832,39,2023-01-04,French Southern Territories,Johnport,7186.530000000001
410,CR525,25,2023-07-24,Anguilla,New Jamieberg,4896.25
